longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-120.67,37.97,9.0,7450.0,1475.0,2233.0,930.0,2.6528,130231.0,INLAND
-122.31,37.93,36.0,1526.0,256.0,696.0,263.0,3.5089,244224.0,NEAR BAY
-118.08,33.77,26.0,2461.0,562.0,971.0,544.0,2.1944,109715.01,<1H OCEAN
-117.08,32.74,33.0,3260.0,673.0,1784.0,666.0,3.5078,136847.0,NEAR OCEAN
-120.65,35.41,15.0,6725.0,1111.0,3139.0,1029.0,4.1875,254837.0,<1H OCEAN
-118.14,33.9,26.0,2145.0,471.0,1150.0,429.0,3.5972,221317.0,<1H OCEAN
-122.62,38.25,24.0,2388.0,358.0,1187.0,362.0,4.6534,215823.0,<1H OCEAN
-121.46,38.58,40.0,1394.0,397.0,689.0,353.0,1.7765,101336.0,INLAND
-120.97,37.69,14.0,5514.0,909.0,2819.0,970.0,3.8598,166846.0,INLAND
-118.09,33.84,27.0,1594.0,295.0,1061.0,320.0,4.7917,214391.0,<1H OCEAN
-118.48,34.31,31.0,1091.0,256.0,892.0,238.0,3.0,175092.0,<1H OCEAN
-118.68,34.33,45.0,121.0,25.0,67.0,27.0,2.9821,294700.04,<1H OCEAN
-119.79,36.81,33.0,1461.0,261.0,494.0,254.0,4.25,120871.0,INLAND
-117.95,34.06,32.0,2252.0,415.0,1370.0,411.0,4.6312,184857.0,<1H OCEAN
-118.42,34.24,17.0,2049.0,548.0,2243.0,541.0,2.525,168174.0,<1H OCEAN
-118.36,33.97,19.0,4651.0,1281.0,2917.0,1121.0,2.6823,148829.0,<1H OCEAN
-119.04,35.32,20.0,37.0,11.0,34.0,8.0,1.2,88742.0,INLAND
-118.02,34.15,44.0,2267.0,426.0,980.0,372.0,3.6,287930.0,INLAND
-117.21,33.2,22.0,3337.0,518.0,1288.0,466.0,5.04,251185.0,<1H OCEAN
-118.39,33.87,19.0,3303.0,584.0,1329.0,569.0,7.521,368073.15,<1H OCEAN
-119.79,36.31,25.0,4984.0,1029.0,2414.0,961.0,2.2937,73420.0,INLAND
-118.17,34.05,35.0,1256.0,294.0,2990.0,302.0,3.1528,130547.0,<1H OCEAN
-122.08,37.88,26.0,2947.0,,825.0,626.0,2.933,129467.0,NEAR BAY
-118.22,33.98,36.0,1514.0,453.0,1496.0,448.0,2.1044,149750.0,<1H OCEAN
-120.72,38.57,8.0,892.0,185.0,427.0,164.0,2.6833,122041.0,INLAND
-121.66,37.93,19.0,2055.0,358.0,1064.0,350.0,4.7426,246780.0,INLAND
-118.42,34.01,29.0,1996.0,489.0,960.0,449.0,3.6611,366009.07,<1H OCEAN
-117.78,33.68,19.0,2500.0,331.0,1027.0,327.0,6.115,300420.0,<1H OCEAN
-118.42,34.32,30.0,3027.0,604.0,1970.0,590.0,4.3409,170489.0,<1H OCEAN
-117.09,32.66,46.0,844.0,147.0,423.0,161.0,3.375,143102.0,NEAR OCEAN
-122.28,37.9,52.0,2318.0,328.0,779.0,312.0,7.1754,365375.02,NEAR BAY
-117.65,34.06,41.0,1171.0,334.0,1479.0,334.0,2.25,98844.0,INLAND
-121.98,37.35,36.0,1054.0,193.0,546.0,187.0,4.5625,245870.0,<1H OCEAN
-117.27,32.82,42.0,2820.0,488.0,1175.0,500.0,4.5083,393799.03,NEAR OCEAN
-119.19,34.17,35.0,4276.0,767.0,3295.0,708.0,4.2583,194004.0,NEAR OCEAN
-117.11,32.78,16.0,2220.0,512.0,930.0,527.0,3.6528,143180.0,NEAR OCEAN
-122.11,38.01,39.0,1313.0,306.0,575.0,231.0,3.1711,124986.0,NEAR BAY
-118.17,33.91,42.0,856.0,167.0,748.0,195.0,3.8,141247.0,<1H OCEAN
-118.16,34.71,27.0,6007.0,998.0,2680.0,882.0,4.1719,133661.0,INLAND
-122.26,37.87,52.0,1087.0,371.0,3337.0,350.0,1.4012,215026.06,NEAR BAY
-117.26,32.98,12.0,3900.0,977.0,1690.0,892.0,4.125,240893.0,NEAR OCEAN
-117.93,34.04,23.0,6361.0,1168.0,4580.0,1109.0,4.9342,196662.0,<1H OCEAN
-122.19,37.77,52.0,2329.0,445.0,1144.0,417.0,3.5114,155662.0,NEAR BAY
-122.06,37.63,12.0,6711.0,1374.0,3388.0,1289.0,3.8625,216211.0,NEAR BAY
-118.3,33.73,40.0,2582.0,606.0,1304.0,588.0,3.5694,278375.0,NEAR OCEAN
-118.28,34.05,44.0,968.0,384.0,1805.0,375.0,1.4801,207396.0,<1H OCEAN
-117.77,33.69,15.0,500.0,113.0,261.0,116.0,5.0631,179455.01,<1H OCEAN
-117.14,32.76,35.0,1785.0,493.0,965.0,506.0,2.0792,154954.0,NEAR OCEAN
-118.61,34.31,4.0,1949.0,458.0,868.0,398.0,5.0151,279200.01,<1H OCEAN
-118.29,34.01,42.0,814.0,223.0,511.0,188.0,2.3942,125595.0,<1H OCEAN
-122.36,38.03,32.0,2159.0,393.0,981.0,369.0,4.3173,172756.0,NEAR BAY
-122.61,38.09,18.0,6205.0,821.0,2311.0,756.0,6.9081,367734.03,<1H OCEAN
-117.22,32.75,34.0,6001.0,1111.0,2654.0,1072.0,4.5878,279457.0,NEAR OCEAN
-117.88,33.84,25.0,1781.0,349.0,918.0,378.0,3.9286,238856.0,<1H OCEAN
-117.34,33.71,10.0,2591.0,486.0,1255.0,425.0,3.1513,160869.0,<1H OCEAN
-122.09,37.65,35.0,1184.0,200.0,572.0,194.0,4.7143,200437.0,NEAR BAY
-121.93,37.25,21.0,1354.0,289.0,639.0,273.0,4.5333,247565.0,<1H OCEAN
-121.96,37.74,2.0,200.0,20.0,25.0,9.0,15.0001,362274.09,<1H OCEAN
-117.77,34.08,27.0,5929.0,932.0,2817.0,828.0,6.0434,220530.0,INLAND
-118.09,34.15,49.0,1467.0,259.0,688.0,260.0,4.3452,277572.0,INLAND
-119.71,36.88,17.0,2236.0,315.0,992.0,312.0,6.9405,195437.0,INLAND
-124.21,41.77,17.0,3461.0,722.0,1947.0,647.0,2.5795,84772.0,NEAR OCEAN
-123.72,41.09,19.0,1970.0,431.0,1166.0,363.0,1.8208,55983.0,<1H OCEAN
-118.14,34.2,39.0,2569.0,426.0,1282.0,432.0,5.0953,239926.0,INLAND
-119.05,36.09,9.0,3297.0,568.0,1749.0,568.0,4.0217,96837.0,INLAND
-118.09,34.15,52.0,670.0,141.0,268.0,110.0,3.5568,223167.0,INLAND
-118.36,34.16,45.0,1755.0,335.0,822.0,342.0,5.1423,335124.03,<1H OCEAN
-118.57,34.17,31.0,1950.0,383.0,870.0,357.0,3.1875,409959.64,<1H OCEAN
-120.86,37.76,32.0,964.0,198.0,623.0,201.0,3.0917,100681.0,INLAND
-121.19,39.55,17.0,1483.0,284.0,481.0,211.0,1.4896,86137.0,INLAND
-118.31,34.06,14.0,1559.0,646.0,1639.0,567.0,1.9949,316232.0,<1H OCEAN
-117.06,33.09,11.0,7483.0,1276.0,3516.0,1261.0,4.0484,223708.0,<1H OCEAN
-122.25,37.8,42.0,4120.0,1065.0,1715.0,1015.0,2.9345,236890.0,NEAR BAY
-116.17,33.66,22.0,639.0,203.0,664.0,153.0,1.9306,55289.0,INLAND
-117.04,34.0,25.0,3750.0,781.0,1594.0,785.0,2.4167,104953.0,INLAND
-119.34,36.62,26.0,1922.0,339.0,1148.0,332.0,2.6058,89361.0,INLAND
-119.76,36.74,52.0,2137.0,448.0,1194.0,444.0,1.3029,65719.0,INLAND
-120.43,34.7,26.0,2353.0,389.0,1420.0,389.0,3.87,142053.0,NEAR OCEAN
-122.49,37.98,34.0,1256.0,178.0,460.0,174.0,6.4271,420883.03,NEAR BAY
-118.24,33.97,37.0,1212.0,314.0,1403.0,279.0,2.5536,115087.0,<1H OCEAN
-121.63,40.92,23.0,1922.0,411.0,872.0,350.0,2.2337,65623.0,INLAND
-122.36,37.93,17.0,1258.0,254.0,885.0,229.0,3.05,129007.0,NEAR BAY
-118.33,33.98,38.0,3063.0,796.0,2153.0,721.0,1.8472,144209.0,<1H OCEAN
-118.17,34.06,36.0,871.0,201.0,2862.0,181.0,2.1845,126605.0,<1H OCEAN
-117.35,33.95,28.0,1650.0,210.0,557.0,211.0,7.6632,255293.09,INLAND
-122.07,37.95,39.0,2199.0,388.0,1025.0,385.0,4.5893,194178.0,NEAR BAY
-121.79,37.33,18.0,3611.0,614.0,2381.0,642.0,5.6345,245643.0,<1H OCEAN
-121.83,36.61,27.0,2248.0,466.0,1644.0,453.0,3.2545,150263.0,<1H OCEAN
-122.07,37.86,23.0,1025.0,205.0,263.0,191.0,3.12,177574.0,NEAR BAY
-122.26,37.52,34.0,483.0,131.0,291.0,157.0,3.0833,282169.0,NEAR OCEAN
-118.19,34.04,45.0,963.0,234.0,1194.0,239.0,2.1806,140536.0,<1H OCEAN
-119.81,34.44,14.0,961.0,305.0,662.0,286.0,3.2115,197048.0,NEAR OCEAN
-118.09,33.96,36.0,1116.0,229.0,719.0,233.0,3.425,170628.0,<1H OCEAN
-122.08,37.64,30.0,5267.0,1253.0,4065.0,1113.0,3.3479,191934.0,NEAR BAY
-121.58,39.83,16.0,4591.0,904.0,1904.0,812.0,2.2419,92690.0,INLAND
-122.79,39.09,20.0,1798.0,395.0,685.0,331.0,1.625,74101.0,INLAND
-118.2,33.88,40.0,1699.0,346.0,1188.0,329.0,4.2083,153557.0,<1H OCEAN
-117.95,33.82,35.0,1068.0,190.0,514.0,174.0,4.0735,213270.0,<1H OCEAN
-122.12,37.29,11.0,436.0,70.0,212.0,75.0,8.6196,467518.69,<1H OCEAN
-117.11,32.68,36.0,26.0,14.0,58.0,23.0,1.9107,115305.0,NEAR OCEAN
-118.32,34.16,49.0,1074.0,170.0,403.0,208.0,6.2547,371275.07,<1H OCEAN
-117.97,34.08,30.0,2227.0,474.0,1961.0,481.0,3.3261,155754.0,INLAND
-117.96,34.07,35.0,2819.0,529.0,1508.0,485.0,4.6118,193111.0,<1H OCEAN
-117.29,33.08,18.0,3225.0,515.0,1463.0,476.0,5.7787,334435.07,NEAR OCEAN
-122.08,37.24,21.0,427.0,63.0,182.0,70.0,11.3283,498406.97,<1H OCEAN
-119.73,36.62,35.0,2080.0,365.0,1026.0,333.0,3.5781,94006.0,INLAND
-118.55,34.03,35.0,9075.0,1858.0,3646.0,1724.0,6.0307,458866.67,<1H OCEAN
-122.43,37.79,52.0,3219.0,969.0,1152.0,830.0,4.2042,493954.92,NEAR BAY
-121.3,38.13,23.0,2864.0,504.0,1298.0,499.0,3.2303,135676.0,INLAND
-121.67,39.14,22.0,2264.0,390.0,1056.0,403.0,3.6111,115348.0,INLAND
-117.24,32.71,32.0,4164.0,701.0,1277.0,607.0,6.6661,479404.77,NEAR OCEAN
-118.0,33.88,18.0,2628.0,720.0,2276.0,649.0,2.735,174525.0,<1H OCEAN
-119.48,35.17,36.0,116.0,20.0,39.0,18.0,3.125,64486.01,INLAND
-118.11,34.16,52.0,2489.0,437.0,1101.0,438.0,4.2065,305347.0,INLAND
-118.08,33.89,33.0,2131.0,435.0,2045.0,426.0,4.0,153986.0,<1H OCEAN
-118.32,34.0,50.0,3250.0,693.0,2300.0,675.0,1.95,116777.0,<1H OCEAN
-117.11,32.75,18.0,1943.0,587.0,1329.0,522.0,1.7696,102141.0,NEAR OCEAN
-121.82,39.76,23.0,6010.0,1116.0,2710.0,1149.0,3.0068,108231.0,INLAND
-122.28,37.89,52.0,2070.0,329.0,722.0,306.0,5.4171,310155.02,NEAR BAY
-118.17,33.78,23.0,3768.0,1261.0,3940.0,1098.0,1.9647,176124.0,NEAR OCEAN
-119.27,34.27,52.0,1577.0,343.0,836.0,335.0,3.5893,229802.02,NEAR OCEAN
-118.87,35.37,14.0,2458.0,433.0,1352.0,411.0,3.5441,85148.0,INLAND
-121.28,38.61,23.0,2547.0,504.0,1235.0,469.0,2.4722,110524.0,INLAND
-118.07,34.1,34.0,2253.0,522.0,1262.0,511.0,3.4375,237671.0,<1H OCEAN
-118.19,34.22,32.0,10626.0,1504.0,4353.0,1482.0,9.8413,498455.98,<1H OCEAN
-122.38,40.67,10.0,2281.0,444.0,1274.0,438.0,2.212,70284.0,INLAND
-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,264575.0,NEAR BAY
-121.49,38.49,26.0,4629.0,832.0,2902.0,816.0,2.735,82518.0,INLAND
-122.05,37.93,15.0,7803.0,1603.0,2957.0,1546.0,4.45,205415.0,NEAR BAY
-122.06,37.7,37.0,1893.0,310.0,821.0,315.0,4.6005,231217.01,NEAR BAY
-122.02,37.36,21.0,2471.0,677.0,1486.0,689.0,3.9038,251909.0,<1H OCEAN
-121.92,37.34,35.0,357.0,120.0,377.0,99.0,3.0139,204264.0,<1H OCEAN
-122.04,37.65,10.0,8299.0,1326.0,3827.0,1288.0,6.2579,300899.0,NEAR BAY
-116.37,33.72,17.0,8626.0,1859.0,3497.0,1337.0,3.312,131557.0,INLAND
-123.41,41.6,23.0,1654.0,369.0,669.0,273.0,1.965,65199.0,INLAND
-121.62,36.69,11.0,4712.0,1098.0,5982.0,1105.0,2.5986,136644.0,<1H OCEAN
-120.1,39.17,33.0,1849.0,384.0,218.0,92.0,1.7083,125190.0,INLAND
-117.34,34.12,26.0,1008.0,164.0,568.0,196.0,3.3516,106555.0,INLAND
-119.26,35.87,24.0,1590.0,390.0,1686.0,372.0,1.6469,48693.0,INLAND
-117.86,33.99,10.0,17820.0,2812.0,8686.0,2666.0,6.3875,310837.0,<1H OCEAN
-118.34,34.04,37.0,1466.0,529.0,1835.0,500.0,1.7014,131795.0,<1H OCEAN
-122.35,37.94,47.0,1275.0,275.0,844.0,273.0,2.8967,108579.0,NEAR BAY
-118.17,33.83,46.0,1362.0,214.0,531.0,222.0,4.3125,290586.01,NEAR OCEAN
-118.21,33.81,40.0,1815.0,428.0,1807.0,413.0,3.0882,168784.0,NEAR OCEAN
-120.58,39.27,15.0,4126.0,903.0,723.0,266.0,3.0147,123166.0,INLAND
-118.47,34.24,19.0,2405.0,661.0,1855.0,621.0,2.3111,222382.0,<1H OCEAN
-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,103621.02,NEAR BAY
-122.25,37.49,44.0,4420.0,743.0,1790.0,735.0,6.142,399811.06,NEAR OCEAN
-116.22,33.74,26.0,4120.0,858.0,2918.0,815.0,3.3107,81114.0,INLAND
-122.48,37.76,52.0,2684.0,574.0,1395.0,549.0,3.9097,327978.0,NEAR BAY
-119.16,34.23,26.0,5444.0,1293.0,3700.0,1158.0,2.7556,209929.0,NEAR OCEAN
-122.59,38.04,25.0,3412.0,455.0,1238.0,406.0,8.3646,401362.05,NEAR BAY
-121.98,37.27,29.0,2658.0,484.0,1318.0,498.0,5.3561,292444.0,<1H OCEAN
-118.41,34.23,35.0,1026.0,195.0,753.0,185.0,4.5909,184200.0,<1H OCEAN
-117.24,32.74,45.0,1718.0,293.0,757.0,329.0,4.05,298562.02,NEAR OCEAN
-118.3,33.87,31.0,1398.0,261.0,823.0,263.0,5.0641,236574.0,<1H OCEAN
-122.23,37.76,52.0,3037.0,516.0,1242.0,518.0,5.2128,309690.03,NEAR BAY
-117.84,33.8,34.0,2004.0,331.0,843.0,328.0,3.59,226691.0,<1H OCEAN
-118.9,34.17,14.0,4719.0,734.0,1880.0,731.0,5.3558,309282.01,<1H OCEAN
-117.13,32.92,16.0,2173.0,399.0,1460.0,393.0,4.2614,169968.0,<1H OCEAN
-118.35,33.94,38.0,1794.0,508.0,2188.0,454.0,2.6654,144325.0,<1H OCEAN
-122.4,37.72,40.0,1948.0,413.0,1434.0,396.0,3.0313,225229.0,NEAR BAY
-118.29,33.74,29.0,1503.0,411.0,1368.0,390.0,2.1473,201183.0,NEAR OCEAN
-118.35,34.32,52.0,102.0,29.0,54.0,32.0,1.9875,202446.01,<1H OCEAN
-121.08,39.21,17.0,3033.0,590.0,1319.0,583.0,2.4811,118276.0,INLAND
-118.03,33.94,30.0,2572.0,521.0,1564.0,501.0,3.4861,182039.0,<1H OCEAN
-117.18,32.74,39.0,3132.0,738.0,1200.0,690.0,2.5288,248038.0,NEAR OCEAN
-121.43,38.56,50.0,1533.0,288.0,532.0,257.0,2.5417,121281.0,INLAND
-117.06,32.68,36.0,3815.0,796.0,2945.0,728.0,2.0959,124074.0,NEAR OCEAN
-122.11,37.71,36.0,4569.0,824.0,1950.0,819.0,4.65,222188.01,NEAR BAY
-116.97,33.74,20.0,3674.0,792.0,1498.0,758.0,2.2161,83678.0,INLAND
-117.81,33.73,19.0,4022.0,975.0,2334.0,954.0,3.0305,164456.0,<1H OCEAN
-119.19,34.19,35.0,2599.0,552.0,2726.0,543.0,3.2212,180304.0,NEAR OCEAN
-116.5,33.95,10.0,7249.0,1882.0,4274.0,1621.0,1.6983,77368.0,INLAND
-122.35,38.3,18.0,3735.0,557.0,1504.0,521.0,5.6304,242018.0,NEAR BAY
-122.23,37.76,52.0,1705.0,246.0,658.0,253.0,5.75,337442.07,NEAR BAY
-121.99,38.36,33.0,146.0,31.0,75.0,31.0,3.5179,105525.0,INLAND
-121.55,38.55,10.0,6227.0,1164.0,2909.0,1077.0,4.106,140490.0,INLAND
-119.44,36.6,5.0,2353.0,608.0,2505.0,573.0,2.2863,73795.0,INLAND
-122.55,38.1,26.0,5188.0,892.0,2341.0,906.0,5.0029,263590.0,NEAR BAY
-117.01,32.72,12.0,2914.0,734.0,2104.0,703.0,2.3068,131020.0,NEAR OCEAN
-118.49,34.03,31.0,3155.0,808.0,1208.0,745.0,3.6769,433078.05,<1H OCEAN
-118.11,33.82,37.0,1987.0,347.0,1095.0,357.0,4.3203,227300.0,<1H OCEAN
-122.05,37.95,27.0,3513.0,791.0,1875.0,694.0,3.1838,180389.0,NEAR BAY
-116.76,33.46,6.0,1251.0,268.0,544.0,216.0,3.0694,168741.0,INLAND
-117.43,33.81,13.0,4770.0,718.0,1985.0,662.0,4.2273,250766.0,INLAND
-118.38,34.05,52.0,2053.0,480.0,900.0,417.0,3.0707,405477.07,<1H OCEAN
-121.32,38.74,14.0,1449.0,228.0,670.0,232.0,4.3897,174381.0,INLAND
-116.96,32.8,25.0,3421.0,803.0,1681.0,742.0,3.369,141313.0,<1H OCEAN
-117.17,33.66,2.0,7401.0,1187.0,2826.0,839.0,4.1386,195098.01,<1H OCEAN
-122.47,37.7,45.0,3290.0,693.0,2466.0,666.0,3.6588,239205.0,NEAR OCEAN
-121.07,39.04,9.0,2374.0,372.0,884.0,333.0,4.5042,199158.0,INLAND
-117.64,34.07,43.0,1970.0,379.0,1036.0,391.0,3.2083,130616.0,INLAND
-117.36,33.98,46.0,1680.0,453.0,1570.0,435.0,2.0436,88788.0,INLAND
-119.17,34.29,18.0,3932.0,724.0,1896.0,680.0,5.2953,290111.05,NEAR OCEAN
-119.06,36.15,20.0,1282.0,273.0,852.0,247.0,1.6354,50895.0,INLAND
-122.23,37.46,26.0,4670.0,1039.0,2103.0,933.0,4.4167,341228.07,NEAR OCEAN
-118.1,34.09,44.0,2352.0,484.0,1517.0,463.0,4.2833,238394.0,<1H OCEAN
-117.14,32.81,34.0,1748.0,294.0,800.0,294.0,4.4886,174827.0,NEAR OCEAN
-118.01,34.07,24.0,5684.0,1485.0,6626.0,1481.0,2.2559,160481.0,INLAND
-118.09,34.08,34.0,1513.0,384.0,986.0,336.0,2.6901,216932.0,<1H OCEAN
-118.46,34.18,35.0,1819.0,465.0,1336.0,419.0,3.4583,240181.0,<1H OCEAN
-117.95,33.97,33.0,1113.0,145.0,424.0,137.0,8.3474,481807.84,<1H OCEAN
-118.84,34.21,16.0,4975.0,949.0,2537.0,971.0,5.2361,237510.0,<1H OCEAN
-122.04,38.0,16.0,3077.0,733.0,1447.0,709.0,3.2484,125755.0,NEAR BAY
-122.2,38.04,31.0,3029.0,500.0,1236.0,487.0,5.6022,238858.0,NEAR BAY
-121.39,38.43,3.0,2696.0,384.0,990.0,316.0,5.4445,213938.0,INLAND
-119.68,36.81,13.0,2589.0,413.0,1356.0,435.0,5.0253,114084.0,INLAND
-121.24,37.95,36.0,361.0,63.0,169.0,62.0,3.7734,95967.0,INLAND
-118.23,33.98,25.0,986.0,310.0,1439.0,251.0,2.39,160669.0,<1H OCEAN
-119.74,36.71,17.0,5872.0,1250.0,5034.0,1224.0,2.1905,68605.0,INLAND
-117.7,34.05,24.0,2834.0,470.0,1815.0,471.0,4.7357,168928.0,INLAND
-122.42,37.66,28.0,3520.0,672.0,1746.0,602.0,4.9236,272373.0,NEAR OCEAN
-118.13,34.08,34.0,3848.0,991.0,2814.0,972.0,2.6716,215826.0,<1H OCEAN
-118.04,34.17,52.0,1885.0,401.0,764.0,373.0,4.0385,266640.0,INLAND
-119.77,36.83,16.0,2360.0,355.0,1034.0,359.0,5.0635,112494.0,INLAND
-122.07,37.35,35.0,1579.0,210.0,570.0,196.0,8.5888,497167.91,<1H OCEAN
-118.35,34.18,46.0,2711.0,491.0,1277.0,490.0,4.282,234676.0,<1H OCEAN
-117.15,32.91,10.0,2349.0,431.0,1598.0,435.0,4.8229,181827.0,<1H OCEAN
-120.33,38.26,13.0,2962.0,546.0,252.0,103.0,4.4063,151231.0,INLAND
-121.33,37.96,20.0,1727.0,386.0,730.0,342.0,2.5195,115497.0,INLAND
-118.17,34.04,46.0,705.0,167.0,655.0,149.0,3.5938,139356.0,<1H OCEAN
-116.99,34.89,24.0,2741.0,577.0,1551.0,522.0,3.474,72849.0,INLAND
